Google service,Service description,Service ID,SKU ID,SKU description,Product taxonomy,Unit description,Per unit quantity,Tiered usage start,List price ($),
GCP,Compute Engine,6F81-5844-456A,1599-A2EA-2B54,On-demand fee for total VM network bandwidth up to 100 Gbps in Johannesburg,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.17445,
GCP,Compute Engine,6F81-5844-456A,0F56-9CF7-3DB3,On-demand fee for total VM network bandwidth up to 100 Gbps in Taiwan,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.03968,
GCP,Compute Engine,6F81-5844-456A,0749-2E54-AE81,On-demand fee for total VM network bandwidth up to 100 Gbps in Hong Kong,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.25607,
GCP,Compute Engine,6F81-5844-456A,0881-5CBC-2768,On-demand fee for total VM network bandwidth up to 100 Gbps in Tokyo,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.15308,
GCP,Compute Engine,6F81-5844-456A,0989-733D-FE9C,On-demand fee for total VM network bandwidth up to 100 Gbps in Osaka,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.15308,
GCP,Compute Engine,6F81-5844-456A,0D13-D3CF-7E11,On-demand fee for total VM network bandwidth up to 100 Gbps in Seoul,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.15308,
GCP,Compute Engine,6F81-5844-456A,0D93-BE26-7BF1,On-demand fee for total VM network bandwidth up to 100 Gbps in Mumbai,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.07847,
GCP,Compute Engine,6F81-5844-456A,82BC-FAA5-DEE0,On-demand fee for total VM network bandwidth up to 100 Gbps in Delhi,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.07847,
GCP,Compute Engine,6F81-5844-456A,0DD5-ABF0-A3D0,On-demand fee for total VM network bandwidth up to 100 Gbps in Singapore,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.10774,
GCP,Compute Engine,6F81-5844-456A,0701-5E7C-96DC,On-demand fee for total VM network bandwidth up to 100 Gbps in Jakarta,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.20741,
GCP,Compute Engine,6F81-5844-456A,0FEE-F4C7-B278,On-demand fee for total VM network bandwidth up to 100 Gbps in Sydney,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.27457,
GCP,Compute Engine,6F81-5844-456A,F325-C5CF-6E90,On-demand fee for total VM network bandwidth up to 100 Gbps in Melbourne,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.27457,
GCP,Compute Engine,6F81-5844-456A,B57F-418A-733B,On-demand fee for total VM network bandwidth up to 100 Gbps in Warsaw,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.15685,
GCP,Compute Engine,6F81-5844-456A,0FF3-EE57-4402,On-demand fee for total VM network bandwidth up to 100 Gbps in Finland,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,0.988678,
GCP,Compute Engine,6F81-5844-456A,D2D2-5ACA-D38E,On-demand fee for total VM network bandwidth up to 100 Gbps in Madrid,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.05952,
GCP,Compute Engine,6F81-5844-456A,11CB-0AB0-EDA2,On-demand fee for total VM network bandwidth up to 100 Gbps in Belgium,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,0.988678,
GCP,Compute Engine,6F81-5844-456A,550B-4904-C10F,On-demand fee for total VM network bandwidth up to 100 Gbps in Berlin,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.38277,
GCP,Compute Engine,6F81-5844-456A,DE62-B440-47BD,On-demand fee for total VM network bandwidth up to 100 Gbps in Turin,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.15829,
GCP,Compute Engine,6F81-5844-456A,12FF-8EC8-6959,On-demand fee for total VM network bandwidth up to 100 Gbps in London,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.15685,
GCP,Compute Engine,6F81-5844-456A,1406-8906-2A47,On-demand fee for total VM network bandwidth up to 100 Gbps in Frankfurt,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.15685,
GCP,Compute Engine,6F81-5844-456A,1297-1FB8-DFAF,On-demand fee for total VM network bandwidth up to 100 Gbps in Netherlands,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,0.988678,
GCP,Compute Engine,6F81-5844-456A,15D6-AE4D-A43F,On-demand fee for total VM network bandwidth up to 100 Gbps in Zurich,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.25607,
GCP,Compute Engine,6F81-5844-456A,C187-2A42-7E96,On-demand fee for total VM network bandwidth up to 100 Gbps in Milan,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.04156,
GCP,Compute Engine,6F81-5844-456A,BA56-C352-2429,On-demand fee for total VM network bandwidth up to 100 Gbps in Paris,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.04156,
GCP,Compute Engine,6F81-5844-456A,E6A9-5F3A-834D,On-demand fee for total VM network bandwidth up to 100 Gbps in Doha,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.09095,
GCP,Compute Engine,6F81-5844-456A,7CCB-2DC2-2E93,On-demand fee for total VM network bandwidth up to 100 Gbps in Dammam,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.43664,
GCP,Compute Engine,6F81-5844-456A,EFC5-5901-1B4D,On-demand fee for total VM network bandwidth up to 100 Gbps in Israel,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,0.988678,
GCP,Compute Engine,6F81-5844-456A,0679-BAD1-BA3A,On-demand fee for total VM network bandwidth up to 100 Gbps in Montreal,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,0.988678,
GCP,Compute Engine,6F81-5844-456A,8797-B511-7512,On-demand fee for total VM network bandwidth up to 100 Gbps in Toronto,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,0.988678,
GCP,Compute Engine,6F81-5844-456A,0698-341D-E3A7,On-demand fee for total VM network bandwidth up to 100 Gbps in Sao Paulo,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.42578,
GCP,Compute Engine,6F81-5844-456A,EB18-FCCD-0961,On-demand fee for total VM network bandwidth up to 100 Gbps in Santiago,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.284,
GCP,Compute Engine,6F81-5844-456A,0141-0887-121B,On-demand fee for total VM network bandwidth up to 100 Gbps in Iowa,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,0.8979,
GCP,Compute Engine,6F81-5844-456A,01D5-1AF1-FD83,On-demand fee for total VM network bandwidth up to 100 Gbps in South Carolina,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,0.8979,
GCP,Compute Engine,6F81-5844-456A,0388-AFDD-BC41,On-demand fee for total VM network bandwidth up to 100 Gbps in North Virginia,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.0113,
GCP,Compute Engine,6F81-5844-456A,7542-50A5-2AD9,On-demand fee for total VM network bandwidth up to 100 Gbps in Columbus,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,0.8979,
GCP,Compute Engine,6F81-5844-456A,7543-5E25-4618,On-demand fee for total VM network bandwidth up to 100 Gbps in Alabama,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,0.8979,
GCP,Compute Engine,6F81-5844-456A,CC5F-F394-2BD9,On-demand fee for total VM network bandwidth up to 100 Gbps in Dallas,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.05952,
GCP,Compute Engine,6F81-5844-456A,0276-F5FF-20B7,On-demand fee for total VM network bandwidth up to 100 Gbps in Oregon,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,0.8979,
GCP,Compute Engine,6F81-5844-456A,049D-BD79-CA11,On-demand fee for total VM network bandwidth up to 100 Gbps in LA,GCP > Compute > GCE > VMs On Demand > Advanced Networking,hour,1,0,1.07937,
